日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-11-26,轻度污染,112,278,41,174,32,4,0.52,石家庄
2025-11-27,良,60,142,19,69,14,3,0.31,石家庄
2025-11-28,良,90,217,48,130,46,5,0.62,石家庄
2025-11-29,轻度污染,120,313,87,189,66,6,0.86,石家庄
2025-11-30,轻度污染,130,311,71,210,38,4,0.59,石家庄
2025-12-01,良,81,216,31,112,28,4,0.33,石家庄
2025-12-02,优,48,131,20,48,20,3,0.34,石家庄
2025-12-03,优,50,125,22,51,29,5,0.48,石家庄
2025-12-04,良,58,165,31,66,36,6,0.56,石家庄
2025-12-05,良,74,235,51,98,52,10,0.95,石家庄
2025-12-06,良,85,229,63,116,57,8,0.97,石家庄
2025-12-07,良,86,228,42,123,27,3,0.41,石家庄
2025-12-08,良,54,121,18,59,23,4,0.35,石家庄
2025-12-09,良,74,199,45,99,52,8,0.76,石家庄
2025-12-10,轻度污染,108,256,81,146,68,7,0.98,石家庄
2025-12-11,轻度污染,106,247,80,133,50,3,0.93,石家庄
2025-12-12,优,32,28,19,32,10,2,0.30,石家庄
2025-12-13,优,48,165,30,48,19,2,0.44,石家庄
2025-12-14,良,67,225,42,84,33,5,0.72,石家庄
2025-12-15,轻度污染,111,322,84,130,51,4,1.10,石家庄
2025-12-16,轻度污染,105,280,79,122,45,3,1.03,石家庄
2025-12-17,轻度污染,105,248,79,119,48,5,1.18,石家庄
2025-12-18,中度污染,154,298,118,147,45,3,1.40,石家庄
2025-12-19,重度污染,214,333,164,210,43,3,1.68,石家庄
2025-12-20,轻度污染,112,273,85,123,39,3,1.02,石家庄
2025-12-21,良,65,249,42,80,43,4,0.65,石家庄
2025-12-22,良,76,285,56,99,42,4,0.75,石家庄
2025-12-23,良,73,280,48,96,38,3,0.67,石家庄
2025-12-24,良,68,232,39,86,32,5,0.67,石家庄
2025-12-25,优,41,141,18,41,17,3,0.34,石家庄
2025-12-26,良,68,283,47,86,42,7,0.95,石家庄
2025-12-27,良,98,306,73,119,57,7,1.06,石家庄
2025-12-28,轻度污染,141,313,108,159,68,6,1.31,石家庄
2025-12-29,轻度污染,118,291,89,126,52,4,1.06,石家庄
2025-12-30,良,72,186,53,90,41,4,0.69,石家庄
2025-12-31,优,39,99,17,39,20,3,0.37,石家庄
2026-01-01,良,62,269,39,73,40,6,0.67,石家庄
2026-01-02,良,98,306,73,116,46,9,1.10,石家庄
2026-01-03,中度污染,161,330,123,167,57,9,1.48,石家庄
2026-01-04,重度污染,207,331,157,201,61,7,1.53,石家庄
2026-01-05,轻度污染,131,297,100,132,55,8,1.19,石家庄
2026-01-06,良,58,209,32,67,29,5,0.54,石家庄
2026-01-07,良,54,213,25,57,27,4,0.47,石家庄
2026-01-08,良,65,236,37,80,31,5,0.61,石家庄
2026-01-09,轻度污染,118,326,39,186,19,5,0.47,石家庄
2026-01-10,良,62,149,15,74,5,2,0.21,石家庄
2026-01-11,优,49,104,14,49,14,4,0.36,石家庄
2026-01-12,良,68,175,35,85,39,5,0.66,石家庄
2026-01-13,良,77,184,56,104,48,6,0.87,石家庄
2026-01-14,良,95,212,71,119,55,7,0.95,石家庄
2026-01-15,轻度污染,148,316,113,195,71,8,1.28,石家庄
2026-01-16,轻度污染,116,264,88,143,33,3,0.88,石家庄
2026-01-17,良,62,133,45,72,25,3,0.53,石家庄
2026-01-18,良,56,131,40,57,19,2,0.49,石家庄
2026-01-19,良,52,197,32,54,18,3,0.46,石家庄
2026-01-20,良,54,253,32,58,24,5,0.58,石家庄
2026-01-21,良,59,260,40,68,34,8,0.84,石家庄
2026-01-22,良,89,294,66,97,44,8,1.04,石家庄
2026-01-23,中度污染,153,322,117,154,59,9,1.40,石家庄
2026-01-24,重度污染,216,323,166,198,61,8,1.55,石家庄
2026-01-25,中度污染,167,285,127,154,53,5,1.14,石家庄
